id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos
1229681,246T56,25694,17391,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,116,15
1244914,"5T2345 (05/02/2015 - 26/03/2015),  35T23456 (09/04/2015 - 05/05/2015),  35T23456 (12/05/2015 - 02/06/2015)",55159,21589.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,False,False,False,False,116,19
1217442,246T34,24326,25146.0,,GRADUAÇÃO,2014,1,False,False,False,True,False,False,False,False,False,98,37
57589504,5T4 6T134 (25/07/2016 - 10/12/2016),57935,5753083.0,,GRADUAÇÃO,2016,2,False,False,False,True,True,False,False,False,False,77,13
57572260,6T2345,59712,5756302.0,,STRICTO SENSU,2015,2,False,False,True,True,True,False,False,False,False,28,25
57599583,35T12,26399,5759183.0,,GRADUAÇÃO,2017,1,False,False,False,False,True,False,False,False,False,70,32
1225064,2T23,53334,5753060.0,,STRICTO SENSU,2014,1,False,False,False,True,True,False,False,False,False,34,13
1242051,35N12,41688,5752665.0,,GRADUAÇÃO,2015,1,False,True,False,False,False,False,False,False,False,72,22
57564687,35M12,54285,5752385.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,False,True,False,76,52
57560514,4N34,41152,5753098.0,,STRICTO SENSU,2015,1,True,False,False,False,False,False,False,False,False,32,1
1233915,7M234  6T5634 (21/07/2014 - 06/12/2014),51672,23108,,GRADUAÇÃO,2014,2,False,False,True,True,False,False,True,True,True,126,5
57596518,2M2345,21872,5759130.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,True,False,72,6
1239347,234M12 (02/02/2015 - 20/06/2015),54312,5754351.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,112,7
57585491,45T12,46950,5753590.0,,GRADUAÇÃO,2016,2,False,False,False,False,True,False,False,False,False,70,4
1223084,2345M34 (13/03/2014 - 15/04/2014),54279,25942.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,True,False,False,44,8
1239672,3T12 5T123,25854,26270.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,82,8
1230600,35N34,26957,5752675,,GRADUAÇÃO,2014,2,True,False,False,False,False,False,False,False,False,78,30
57587796,26N12 3N234 5N23 (25/07/2016 - 17/12/2016),2049518,5752195.0,,GRADUAÇÃO,2016,2,True,True,False,False,False,False,False,False,False,159,13
57589941,5M1234,43038,5758207.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,True,False,76,20
57599597,46M34 (13/02/2017 - 01/07/2017),63256,5757593.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,True,False,False,74,2
57576463,35M34,41689,5752998.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,False,False,72,13
1233896,6T3456,25264,60551,,GRADUAÇÃO,2014,2,False,False,True,True,False,False,False,False,False,68,25
1233459,2M2,54078,23816,,GRADUAÇÃO,2014,2,False,False,False,False,False,False,False,True,False,17,17
57601534,2T2,38251,24352.0,,STRICTO SENSU,2017,1,False,False,False,False,True,False,False,False,False,11,1
57597258,35M123456 4M12345  4T1234 (09/05/2017 - 11/05/2017),57881,5758708.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,21,4
1229812,35T56,25089,5755917,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,76,44
57588710,5T1234 (25/07/2016 - 17/12/2016),46256,5757397.0,,GRADUAÇÃO,2016,2,False,False,False,True,True,False,False,False,False,76,37
57579018,3M1234 5M123 (02/02/2016 - 15/03/2016),55100,5757399.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,True,False,42,11
1226409,6T2345,44403,5753771.0,,STRICTO SENSU,2014,1,False,False,True,True,True,False,False,False,False,70,16
57578353,24M23 (15/02/2016 - 16/03/2016),52468,5757594.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,True,False,18,1
57559790,2T2,38251,17967.0,,STRICTO SENSU,2015,1,False,False,False,False,True,False,False,False,False,18,2
57565061,35N12 (27/07/2015 - 19/12/2015),52791,5755108.0,,GRADUAÇÃO,2015,2,False,True,False,False,False,False,False,False,False,66,10
57592307,2T234,58895,5757570.0,,STRICTO SENSU,2016,2,False,False,False,True,True,False,False,False,False,33,15
1222592,35M12,21933,2302591.0,,GRADUAÇÃO,2014,1,False,False,False,False,False,False,False,True,False,74,53
57595610,23456M123456  23456T1234 (20/03/2017 - 14/05/2017),54732,5752391.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,360,2
57580274,5M5,52819,15520.0,,STRICTO SENSU,2016,1,False,False,False,False,False,True,False,False,False,4,1
1217679,56M345,54834,5752642.0,,STRICTO SENSU,2014,1,False,False,False,False,False,True,True,False,False,105,17
57588032,24N12,60708,22773.0,,GRADUAÇÃO,2016,2,False,True,False,False,False,False,False,False,False,70,11
1237814,4T123,43988,23814,,STRICTO SENSU,2014,2,False,False,False,True,True,False,False,False,False,51,20
57599010,"35M2345 6M45 (13/02/2017 - 04/04/2017), 6M45 (06/04/2017 - 30/06/2017)",63544,26043.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,True,False,88,18
57567732,2N1234,46351,91397.0,,GRADUAÇÃO,2015,2,True,True,False,False,False,False,False,False,False,68,39
1231339,35M56,52989,5756416,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,False,False,False,78,31
57600069,23456M123456  23456T1234 (15/05/2017 - 30/06/2017),54722,5755282.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,250,4
1220911,2345T561234 (27/01/2014 - 14/06/2014),47168,24490.0,,GRADUAÇÃO,2014,1,False,False,True,True,True,False,False,False,False,402,4
57576363,35T12,20033,5752277.0,,GRADUAÇÃO,2016,1,False,False,False,False,True,False,False,False,False,68,30
57565971,36M34,58250,5756218.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,False,False,72,49
1228534,5T34 (21/07/2014 - 06/12/2014),54248,5756391,,GRADUAÇÃO,2014,2,False,False,False,True,False,False,False,False,False,40,14
57567177,24N34,2040372,60773.0,,GRADUAÇÃO,2015,2,True,False,False,False,False,False,False,False,False,72,46
57576791,35T56 (01/02/2016 - 18/06/2016),61109,5757071.0,,GRADUAÇÃO,2016,1,False,False,True,False,False,False,False,False,False,72,14
57586131,2T12 (25/07/2016 - 17/12/2016),57604,5753066.0,,GRADUAÇÃO,2016,2,False,False,False,False,True,False,False,False,False,40,102
1229594,2M23  5T12,42389,2283351,,GRADUAÇÃO,2014,2,False,False,False,False,True,False,True,True,False,66,23
1229762,6T2345,26725,5757029,,GRADUAÇÃO,2014,2,False,False,True,True,True,False,False,False,False,68,60
1225601,"24M345  35N12 (14/04/2014 - 05/06/2014),  35N12 (10/06/2014 - 12/06/2014)",52526,23411.0,,GRADUAÇÃO,2014,1,False,True,False,False,False,True,True,False,False,77,4
1230377,2M2345 4M23,23848,26273,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,True,False,114,12
57585684,6M1234,46697,5753343.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,True,False,72,22
1229223,3T12,2045900,17729,,GRADUAÇÃO,2014,2,False,False,False,False,True,False,False,False,False,34,20
57581116,5T2345,42317,5752685.0,,STRICTO SENSU,2016,1,False,False,True,True,True,False,False,False,False,60,5
57594524,2T45,54063,5755753.0,,GRADUAÇÃO,2017,1,False,False,True,True,False,False,False,False,False,34,6
1228840,35N12,26601,22728,,GRADUAÇÃO,2014,2,False,True,False,False,False,False,False,False,False,76,23
57599462,4T3456,26566,26169.0,,GRADUAÇÃO,2017,1,False,False,True,True,False,False,False,False,False,76,14
57578393,7M34  35N12 (01/02/2016 - 04/06/2016),57599,5752253.0,,GRADUAÇÃO,2016,1,False,True,False,False,False,False,True,False,True,84,20
57595570,24M12 (13/02/2017 - 01/07/2017),61026,5752190.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,False,True,False,74,5
1219966,35T12,25734,23841.0,,GRADUAÇÃO,2014,1,False,False,False,False,True,False,False,False,False,70,14
57594390,35M56,2055441,5758764.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,False,False,False,72,39
1235033,3T2345,2052852,16607,,GRADUAÇÃO,2014,2,False,False,True,True,True,False,False,False,False,68,20
57573648,246M12,20020,23835.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,False,True,False,108,33
1231236,24T34,25603,15496,,GRADUAÇÃO,2014,2,False,False,False,True,False,False,False,False,False,76,22
1240802,5N1234,2049855,5757009.0,,GRADUAÇÃO,2015,1,True,True,False,False,False,False,False,False,False,68,2
1231866,46T56 (21/07/2014 - 06/12/2014),2051709,5752962,,GRADUAÇÃO,2014,2,False,False,True,False,False,False,False,False,False,76,23
57579269,24M34,25321,5757630.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,False,True,False,False,70,55
57575960,"5T34 (01/02/2016 - 16/04/2016),  7T34 (17/04/2016 - 23/04/2016),  5T34 (24/04/2016 - 18/06/2016)",55229,24989.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,False,False,34,40
57588127,5M12 (28/07/2016 - 24/11/2016),56262,5758035.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,36,29
57569128,6T56 (22/10/2015 - 04/12/2015),53757,5757092.0,,GRADUAÇÃO,2015,2,False,False,True,False,False,False,False,False,False,12,12
57590460,2345M23456,43244,26172.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,345,7
1220338,2M56  35T12 (27/01/2014 - 14/06/2014),2051007,5755984.0,,GRADUAÇÃO,2014,1,False,False,False,False,True,True,False,False,False,102,36
57601046,7M123456,38208,25430.0,,STRICTO SENSU,2017,1,False,False,False,False,False,True,True,True,True,90,2
57586529,"5M456 (25/07/2016 - 31/08/2016), 5M456 (10/10/2016 - 10/12/2016)",57595,5757556.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,36,8
57590051,23456M123456,2043553,5753757.0,,STRICTO SENSU,2016,2,False,False,False,False,False,True,True,True,False,60,21
57600130,246N12 (13/02/2017 - 01/07/2017),55022,5756813.0,,GRADUAÇÃO,2017,1,False,True,False,False,False,False,False,False,False,98,71
57590083,35T34,54168,26044.0,,STRICTO SENSU,2016,2,False,False,False,True,False,False,False,False,False,70,4
57567011,2M234,2045612,5757187.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,False,True,True,False,51,25
57588592,2M2345,57578,5754372.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,76,16
57573607,46N12 (01/02/2016 - 18/06/2016),57606,5757747.0,,GRADUAÇÃO,2016,1,False,True,False,False,False,False,False,False,False,76,130
57587885,4M56 6M34,57703,5753059.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,68,20
57562539,56M123456  56T123456,59572,5752470.0,,STRICTO SENSU,2015,1,False,False,True,True,True,True,True,True,False,96,24
57575566,6M12  4T34 (01/02/2016 - 18/06/2016),54282,63327.0,,GRADUAÇÃO,2016,1,False,False,False,True,False,False,False,True,False,70,41
1222778,2T1234 (27/01/2014 - 14/06/2014),2055911,5752250.0,,GRADUAÇÃO,2014,1,False,False,False,True,True,False,False,False,False,72,6
57587056,6M345,2049850,5758596.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,False,False,54,8
1236846,"24M345 (28/07/2014 - 01/08/2014), 24M345 7M12345  7T123456  2N124 3456N1234 (04/08/2014 - 09/08/2014), 24M345 (11/08/2014 - 26/09/2014)",52526,16331,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,84,3
57595607,23456M123456  23456T1234 (13/02/2017 - 19/03/2017),60836,5752391.0,,GRADUAÇÃO,2017,1,False,False,False,True,True,True,True,True,False,220,2
57585407,35N12,43328,5753053.0,,GRADUAÇÃO,2016,2,False,True,False,False,False,False,False,False,False,78,16
57598550,23456M123456  23456T123456 (15/05/2017 - 30/06/2017),54741,24854.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,408,4
57587523,24M12,27724,22809.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,False,True,False,72,35
57589404,5T123456,26386,5752488.0,,GRADUAÇÃO,2016,2,False,False,True,True,True,False,False,False,False,126,14
1239660,6T234,2046252,5757238.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,54,20
57585014,24T56,2054966,5752709.0,,GRADUAÇÃO,2016,2,False,False,True,False,False,False,False,False,False,72,24
1239363,23456M123456  23456T123456 (16/03/2015 - 26/04/2015),54732,5755870.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,True,True,True,False,324,3
57592088,6M2345,59716,5756340.0,,STRICTO SENSU,2016,2,False,False,False,False,False,True,True,True,False,64,9
1239598,24M12,26629,18042.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,False,False,True,False,76,13
1242876,3T34  24N34 (02/02/2015 - 20/06/2015),2051704,5752963.0,,GRADUAÇÃO,2015,1,True,False,False,True,False,False,False,False,False,114,35
57601227,6M2345,60245,5754342.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,True,True,True,False,68,11
1243003,5T1234,41854,5756833.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,68,28
57589755,5M34 (25/07/2016 - 17/12/2016),54065,23754.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,False,True,False,False,40,50
1244503,25M345 4M34 (02/02/2015 - 20/06/2015),58251,23832.0,,GRADUAÇÃO,2015,1,False,False,False,False,False,True,True,False,False,136,6
57566756,6M56,40138,5757662.0,,GRADUAÇÃO,2015,2,False,False,False,False,False,True,False,False,False,36,59
