id_turma,descricao_horario,id_componente_curricular,id_docente_interno,id_docente_externo,nivel_ensino,ano,periodo,noite34,noite12,tarde56,tarde34,tarde12,manha56,manha34,manha12,sabado,aulas,alunos,mediana_faltas,mediana_media_final,APROVADO,APROVADO POR NOTA,REPROVADO POR MÉDIA E POR FALTAS,REPROVADO,CANCELADO,TRANCADO,REPROVADO POR NOTA,REPROVADO POR FALTAS,REPROVADO POR NOTA E FALTA,CUMPRIU,DESISTENCIA,TRANSFERIDO,PASSARAM_NA_MATERIA,APROVACOES_INTERVALO
57595659,5N123 (13/02/2017 - 01/07/2017),43535,5754625.0,,GRADUAÇÃO,2017,1,True,True,False,False,False,False,False,False,False,54,23,0.0,9.5,0.9565217391299998,0.0434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999995999,0.9|-
57569222,5T6  4N4 5N12,26481,5756702.0,,GRADUAÇÃO,2015,2,True,True,True,False,False,False,False,False,False,81,20,0.0864197530864,7.5,0.666666666667,0.23809523809500002,0.047619047619,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904761904762,0.5|-0.7
57578248,234567M123456  234567T123456  234567N12 (02/05/2016 - 07/05/2016),55579,5755486.0,,GRADUAÇÃO,2016,1,False,True,True,True,True,True,True,True,True,84,48,0.0,8.0,0.918367346939,0.0,0.0,0.0816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918367346939,0.9|-
57575664,3M3456,43242,5752386.0,,GRADUAÇÃO,2016,1,False,False,False,False,False,True,True,False,False,76,29,0.144736842105,8.15,0.875,0.08333333333330001,0.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333,0.8|-0.9
57568614,6T2345,24689,5757016.0,,GRADUAÇÃO,2015,2,False,False,True,True,True,False,False,False,False,76,6,0.0,8.8,0.9545454545450001,0.0,0.0,0.0454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545450001,0.9|-
57564656,5T4 6T134 (27/07/2015 - 19/12/2015),57935,5756391.0,,GRADUAÇÃO,2015,2,False,False,False,True,True,False,False,False,False,81,5,0.0,7.55,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8|-0.9
1243944,2T12 46T56 (02/02/2015 - 20/06/2015),2051007,5752247.0,,GRADUAÇÃO,2015,1,False,False,True,False,True,False,False,False,False,98,35,0.214285714286,3.4,0.181818181818,0.181818181818,0.242424242424,0.212121212121,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363636363636,0.0|-0.3
57580652,5T456 6T5 (01/02/2016 - 01/06/2016),2041660,5754625.0,,GRADUAÇÃO,2016,1,False,False,True,True,False,False,False,False,False,58,31,0.103448275862,8.9,0.933333333333,0.0333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333,0.0,0.0,0.0,0.9666666666663,0.9|-
1233013,6N1234,2038913,5752291.0,,GRADUAÇÃO,2014,2,True,True,False,False,False,False,False,False,False,76,48,0.0,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
57589098,3T56 4T34 (25/07/2016 - 17/12/2016),51724,21746.0,,GRADUAÇÃO,2016,2,False,False,True,True,False,False,False,False,False,76,2,0.052631578947400004,6.25,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5|-0.7
57558904,3T23456 (09/02/2015 - 04/04/2015),58185,5756286.0,,GRADUAÇÃO,2015,1,False,False,True,True,True,False,False,False,False,35,8,0.0,7.05,0.625,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5|-0.7
57600292,3M123456 6M456  4T12345 (13/02/2017 - 31/03/2017),61218,5756286.0,,GRADUAÇÃO,2017,1,False,False,True,True,True,True,True,True,False,89,8,0.0,8.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
57600306,23456M234 (29/05/2017 - 23/06/2017),58271,5758404.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,True,True,False,57,40,0.0,9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
1217308,5N1234,2049855,5755748.0,,GRADUAÇÃO,2014,1,True,True,False,False,False,False,False,False,False,68,8,0.0588235294118,7.4,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5|-0.7
1231387,2M234 3M2345 6M56,51463,5753007.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,True,False,170,7,0.120588235294,6.85,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5|-0.7
57591102,3M2345,2049303,5753663.0,,GRADUAÇÃO,2016,2,False,False,False,False,False,True,True,True,False,80,15,0.15,9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
57594768,6M234,2049517,5756303.0,,GRADUAÇÃO,2017,1,False,False,False,False,False,False,True,True,False,54,9,0.0555555555556,8.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
1236622,3M3456 (21/07/2014 - 06/12/2014),46210,5753596.0,,GRADUAÇÃO,2014,2,False,False,False,False,False,True,True,False,False,76,21,0.0,9.15,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.9|-
1239480,35T123,43381,5757190.0,,GRADUAÇÃO,2015,1,False,False,False,True,True,False,False,False,False,99,4,0.0,6.9,0.483870967742,0.451612903226,0.0322580645161,0.0322580645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935483870968,0.3|-0.5
1224341,2N34 4N12,43065,5756598.0,,GRADUAÇÃO,2014,1,True,True,False,False,False,False,False,False,False,70,28,0.0,6.05,0.192307692308,0.576923076923,0.0,0.23076923076900002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692310001,0.0|-0.3
1232523,4T1234 (21/07/2014 - 06/12/2014),2055859,5754608.0,,GRADUAÇÃO,2014,2,False,False,False,True,True,False,False,False,False,80,6,0.0,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9|-
